chromosome	start	end	segVal	sample
1	840001	8490000	1.22111106413751	JBLAB-4102
1	8490001	202110000	1.94184452465755	JBLAB-4102
1	202110001	235050000	1.19654241431951	JBLAB-4102
1	235050001	249210000	1.92147667696372	JBLAB-4102
2	30001	240870000	2.02835383249897	JBLAB-4102
2	240870001	2.43e+08	1.46673473255528	JBLAB-4102
3	90001	50250000	1.31323658179509	JBLAB-4102
3	50250001	133950000	2.10240381211276	JBLAB-4102
3	133950001	148920000	2.96188554842844	JBLAB-4102
3	148920001	149700000	3.83633107349189	JBLAB-4102
3	149700001	197820000	2.98704450581212	JBLAB-4102
4	90001	190800000	1.93111525647412	JBLAB-4102
5	60001	180690000	1.95664913567993	JBLAB-4102
6	210001	12870000	1.72666561451034	JBLAB-4102
6	12870001	55860000	2.56149116991873	JBLAB-4102
6	55860001	57630000	3.52578010561139	JBLAB-4102
6	57630001	84660000	1.94553303068985	JBLAB-4102
6	84660001	170910000	1.1645506248195	JBLAB-4102
7	30001	159120000	2.03213572676237	JBLAB-4102
8	180001	38370000	1.19602193346344	JBLAB-4102
8	38370001	39240000	2.03453706996376	JBLAB-4102
8	39240001	39390000	-0.784616969716322	JBLAB-4102
8	39390001	53370000	1.9677154917809	JBLAB-4102
8	53370001	53910000	3.31751264531178	JBLAB-4102
8	53910001	115950000	2.05597523663404	JBLAB-4102
8	115950001	146310000	3.33017451281092	JBLAB-4102
9	210001	78870000	1.02447768709758	JBLAB-4102
9	78870001	1.41e+08	1.73175689192723	JBLAB-4102
10	120001	135420000	1.85539386163611	JBLAB-4102
11	210001	134940000	1.98165133805982	JBLAB-4102
12	180001	7200000	2.84846148820525	JBLAB-4102
12	7230001	104070000	2.044444125159	JBLAB-4102
12	104070001	133830000	2.73156255920662	JBLAB-4102
13	19530001	115110000	1.56035927596175	JBLAB-4102
14	20190001	107310000	1.95995237715865	JBLAB-4102
15	22320001	48390000	1.95837232226722	JBLAB-4102
15	48390001	75510000	2.71466389222448	JBLAB-4102
15	75510001	90450000	2.0006841670157	JBLAB-4102
15	90450001	102390000	2.72053537567012	JBLAB-4102
16	90001	660000	1.07199731502689	JBLAB-4102
16	660001	66930000	1.84803436432983	JBLAB-4102
16	66930001	84060000	1.11618390622592	JBLAB-4102
16	84060001	90150000	1.93483238355974	JBLAB-4102
17	1	5850000	0.991872778339963	JBLAB-4102
17	5850001	7590000	1.53654652774613	JBLAB-4102
17	7590001	46530000	0.996782917500542	JBLAB-4102
17	46530001	81090000	1.80342606930713	JBLAB-4102
18	150001	48360000	0.996143354546018	JBLAB-4102
18	48360001	48630000	0.23572318942431	JBLAB-4102
18	48630001	78030000	0.998993176384044	JBLAB-4102
19	270001	59100000	1.76022996730001	JBLAB-4102
20	60001	62910000	2.03624773034638	JBLAB-4102
21	15480001	48090000	1.87180403398872	JBLAB-4102
22	17280001	25620000	1.09454948491074	JBLAB-4102
22	25710001	25920000	2.97311294719183	JBLAB-4102
22	25920001	31140000	0.93015317011819	JBLAB-4102
22	31140001	31890000	1.94384962223201	JBLAB-4102
22	31890001	51180000	0.987288196894888	JBLAB-4102
1	840001	249210000	2.02161333589742	IM_3
2	30001	113820000	2.01874258176592	IM_3
2	113820001	114750000	2.75571212230918	IM_3
2	114750001	222780000	2.05062390696072	IM_3
2	222780001	2.43e+08	1.04027076858885	IM_3
3	90001	510000	2.70447162503982	IM_3
3	510001	13830000	1.95381752260469	IM_3
3	13830001	14700000	2.40712133355619	IM_3
3	14700001	63270000	1.02824845982439	IM_3
3	63270001	63840000	2.63909829949913	IM_3
3	63840001	64800000	3.69809662241524	IM_3
3	64800001	83520000	2.95915991269213	IM_3
3	83520001	84150000	1.81451422428654	IM_3
3	84180001	86880000	2.95089801142778	IM_3
3	86880001	101520000	1.96049731785992	IM_3
3	101520001	101970000	2.83136687717615	IM_3
3	101970001	148890000	2.03894277736856	IM_3
3	148890001	168570000	2.99022554955766	IM_3
3	168570001	168870000	4.96504750552399	IM_3
3	168870001	171780000	3.30186704295309	IM_3
3	171780001	172410000	4.29087124762164	IM_3
3	172410001	197820000	3.08125447213513	IM_3
4	90001	69180000	1.92989733817774	IM_3
4	69180001	70440000	2.49783311345742	IM_3
4	70440001	190800000	2.02535850554552	IM_3
5	60001	180690000	1.98675920772536	IM_3
6	210001	170910000	2.05062390696072	IM_3
7	30001	70290000	1.95852123031909	IM_3
7	70290001	71970000	1.41708952429062	IM_3
7	72720001	159120000	1.98502604069244	IM_3
8	180001	40440000	0.940420816721618	IM_3
8	40440001	41430000	3.30676532641002	IM_3
8	41430001	42960000	4.14120467570996	IM_3
8	42960001	43380000	3.34344309941216	IM_3
8	47490001	64380000	1.93808525280246	IM_3
8	64380001	66630000	2.67334498136212	IM_3
8	66630001	67380000	2.0559617251506	IM_3
8	67380001	67590000	3.20784516139001	IM_3
